"","STATE","YEAR","RATE","DEATHS","POP","GROSSDOMESTICPRODUCT","PERCAPITAPERSONALINCOME","HOMEOWNERSHIPRATE","PERCENTBACHELORSDEGREEORHIGHER","STATEGOVTAXCOLLECTIONSTOTALTAXES"
"437","WI",2018,19.2,1079,5809.319,335144.3,50520,67.9,30,18717467
"438","WI",2019,21.1,1201,5824.581,346906.6,52370,66.1,31.3,19871532
"439","WI",2020,27.7,1531,5897.375,343272.2,55435,67.9,31.8,20170888
"440","WI",2021,31.6,1775,5881.608,368880.4,60465,68.3,32.5,22300850
"441","WI",2022,31.8,1792,5903.975,400621.4,61992,70,33.2,23363814
"442","WY",2014,19.4,109,583.159,40573.9,56251,70.8,26.6,2263387
"443","WY",2015,16.4,96,586.389,38624.8,56120,69.9,26.2,2356323
"444","WY",2016,17.6,99,585.243,36105.9,53419,70.2,27.1,1913607
"445","WY",2017,12.2,69,579.994,37620.3,56378,70.4,27.6,1649550
"446","WY",2018,11.1,66,579.054,39614.5,59197,71.1,26.9,1837401
"447","WY",2019,14.1,79,580.116,40029.5,61853,71.3,29.1,2110704
"448","WY",2020,17.4,99,577.681,36709.6,65096,73.9,28.2,1963896
"449","WY",2021,18.9,109,579.636,42319.1,70973,72.1,29.2,1874876
"450","WY",2022,21.9,126,581.978,49782.6,76440,75.3,29.6,2441007
